Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
JQ731795	Unclassified	Alphacoronavirus	Brazil	South America	Bahia	Caatinga	Carollia brevicauda	Coronavirus BtCoV BRA114	2009
JQ731796	Unclassified	Alphacoronavirus	Brazil	South America	Bahia	Caatinga	Carollia perspicillata	Coronavirus BtCoV BRA118	2009
JQ731797	Unclassified	Alphacoronavirus	Brazil	South America	Bahia	Caatinga	Carollia brevicauda	Coronavirus BtCoV BRA344	2009
JQ731798	Unclassified	Alphacoronavirus	Brazil	South America	Bahia	Caatinga	Carollia perspicillata	Coronavirus BtCoV BRA119	2009
JQ731801	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Carollia perspicillata	Coronavirus BtCoV KCR372	2010
KC779225.2	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Chiroptera	Bat coronavirus Cpt114	2012
KC779226	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Chiroptera	Bat coronavirus Aju21	2012
KF294282	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Bat coronavirus Neixiang64	2012
KJ020585	Minunacovirus	Alphacoronavirus	Thailand	Asia		Other	Miniopterus schreibersii	Bat coronavirus B311 2	2008-07
KJ020587	Minunacovirus	Alphacoronavirus	Thailand	Asia		Other	Miniopterus schreibersii	Bat coronavirus BtCoV B311 4	2008-07
KJ020591	Minunacovirus	Alphacoronavirus	Thailand	Asia		Other	Miniopterus schreibersii	Bat coronavirus BtCoV B124	2008-05
KJ020597	Minunacovirus	Alphacoronavirus	Thailand	Asia		Other	Miniopterus schreibersii	Bat coronavirus BtCoVB338	2008-07
KJ473798	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuliginosus	BtMf AlphaCoV HuB2013	2013
KJ473799	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuliginosus	BtMf AlphaCoV FJ2012	2012
KJ473800	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuliginosus	BtMf AlphaCoV HeN2013	2013
KM215147	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Artibeus	Bat coronavirus strain BatCoV2	01/02/2014
KP876508	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus BtCoV 4068_2	2012-09
KP876520	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus BtCoV 4036_2	2012-09
KP876522	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus BtCoV 3728_2	2012-08
KP876524	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus BtCoV 4056_2	2012-09
KP876533	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus sinicus	Rhinolophus bat coronavirus BtCoV 3992_2	2012-09
KP876535	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus bat coronavirus BtCoV 4023_2	2012-09
KP876542	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus BtCoV 3767	2012-08
KP876543	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus bat coronavirus BtCoV 4040	2012-09
KP876544	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus affinis	Rhinolophus bat coronavirus BtCoV 3994	2012-09
KP876545	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus sinicus	Rhinolophus bat coronavirus BtCov 3990	2012-09
KT717383	Unclassified	Alphacoronavirus	Brazil	South America	Parana	Atlantic RainForest	Carollia perspicillata	Bat coronavirus 1514	2011
KT717385	Unclassified	Alphacoronavirus	Brazil	South America	Parana	Atlantic RainForest	Carollia perspicillata	Bat coronavirus 1599	2012
KT717387	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Glossophaga soricina	Bat coronavirus 100	2014
KU343192	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Bat coronavirus MfusBtCoV 4023_2	16/09/2012
KU552072	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Desmodus rotundus	Bat coronavirus 4292	2013
KU552074	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Glossophaga soricina	Bat coronavirus 4620	2013
KX094982	Unclassified	Alphacoronavirus	Brazil	South America	Rio Grande do Sul	Atlantic RainForest	Molossus molossus	Bat coronavirus strain 328_11	2011-02
KX094983	Unclassified	Alphacoronavirus	Brazil	South America	Rio Grande do Sul	Atlantic RainForest	Glossophaga soricina	Bat coronavirus strain 169_11	2011-01
KX285047	Unclassified	Alphacoronavirus	Bolivia			Tropical RainForest	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA	22/03/2011
KX285048	Unclassified	Alphacoronavirus	Bolivia			Tropical RainForest	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA	22/03/2011
KX285050	Unclassified	Alphacoronavirus	Bolivia			Tropical RainForest	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA	07/06/2011
KX285054	Unclassified	Alphacoronavirus	Brazil	South America	Para	Amazonia	Lichonycteris obscura	Coronavirus PREDICT CoV13 Araguari49	28/09/2009
KX285056	Unclassified	Alphacoronavirus	Brazil	South America	Para	Amazonia	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA Araguari67	28/09/2009
KX285057	Unclassified	Alphacoronavirus	Brazil	South America	Para	Amazonia	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA Araguari69	28/09/2009
KX285063	Unclassified	Alphacoronavirus	Brazil	South America	Para	Amazonia	Glossophaginae	Coronavirus PREDICT CoV18 BATMG11	08/10/2010
KX285069	Unclassified	Alphacoronavirus	Brazil	South America	Roraima	Amazonia	Carollia perspicillata	Alphacoronavirus Trinidad 1FY2BA	20/11/2011
KX285466	Minunacovirus	Alphacoronavirus	Thailand	Asia		Other	Miniopterus magnater	Miniopterus bat coronavirus HKU8	24/11/2013
KY780381	Unclassified	Alphacoronavirus	Italy	Europe		Other	Myotis nattereri	Bat coronavirus isolate Mnat560_IT_13	2013
KY780382	Unclassified	Alphacoronavirus	Italy	Europe		Other	Myotis nattereri	Bat coronavirus isolate Mnat562_IT_13	2013
KY780384	Nyctacovirus	Alphacoronavirus	Italy	Europe		Other	Pipistrellus pipistrellus	Bat coronavirus isolate Ppip1000_IT_14	2014
KY780385	Nyctacovirus	Alphacoronavirus	Italy	Europe		Other	Pipistrellus pipistrellus	Bat coronavirus isolate Ppip1015C_IT_14	2014
KY780388	Unclassified	Alphacoronavirus	Italy	Europe		Other	Rhinolophus ferrumequinum	Bat coronavirus isolate Rfer4009_IT_16	2016
KY780389	Unclassified	Alphacoronavirus	Italy	Europe		Other	Rhinolophus ferrumequinum	Bat coronavirus isolate Rfer4011_IT_16	2016
KY780395	Unclassified	Alphacoronavirus	Italy	Europe		Other	Myotis oxygnathus	Bat coronavirus isolate Moxy4235_IT_16	2016
KY780397	Unclassified	Alphacoronavirus	Italy	Europe		Other	Myotis myotis	Bat coronavirus isolate Mmyo4658_IT_16	2016
MG252875	Nyctacovirus	Alphacoronavirus	South Africa	Africa		Other	Afronycteris nana	Bat alphacoronavirus strain BtCoV 20160906_DC93	06/09/2016
MG916901	Decacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus	Bat coronavirus isolate BtCoV RhYN2012 Rs3376	19/05/2012
MK211373	Decacovirus	Alphacoronavirus	China	Asia		Other	Cynopterus sphinx	Coronavirus BtRs AlphaCoV YN2018	2017-05
MK603152	Myotacovirus	Alphacoronavirus	Kazakhstan	Asia		Other	Chiroptera	Bat alphacoronavirus RIBSP KZ BatCoV7	2017
MK603153	Myotacovirus	Alphacoronavirus	Kazakhstan	Asia		Other	Chiroptera	Bat alphacoronavirus RIBSP KZ BatCoV 11	2017
MK603161	Myotacovirus	Alphacoronavirus	Kazakhstan	Asia		Other	Chiroptera	Bat alphacoronavirus RIBSP KZ BatCoV 66	2017
